MIAC Championships,Crawford Hubbell,University Of St. Thomas,27:24,56,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Josh Campbell,Carleton College,27:26,57,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,David Ohman,Hamline University,27:28,58,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Gill,Hamline University,27:29,59,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Anders Nienstaedt,St. Olaf College,27:30,60,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Thornton,Gustavus Adolphus College,27:31,61,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Preston Tomlinson,Gustavus Adolphus College,27:31,62,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dan Voss,Macalester College,27:32,63,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Austin Woetzel,Bethel University,27:33,64,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Lawrence,Carleton College,27:34,65,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Connor Gjevre,Saint John's University,27:34,66,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Waltman,Macalester College,27:35,67,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Kleven,St. Olaf College,27:36,68,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Robby McGuire,Saint Mary's University,27:38,69,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Leighton Becher,Gustavus Adolphus College,27:39,70,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Aron Block,St. Olaf College,27:40,71,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chas Karch,Carleton College,27:42,72,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Thor Laack-Veeder,Carleton College,27:44,73,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Sederquist,Concordia College,27:45,74,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Keefe,Macalester College,27:49,75,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Charles Schweitzer,Hamline University,27:50,76,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jake Stunek,Concordia College,27:51,77,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Paul Berg,St. Olaf College,27:51,78,2011,"Como Park Golf Course, St. Paul"
