MIAC Championships,Nick Jackson,University of St. Thomas,27:52.2,53,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Hiskes,Carleton College,27:54.9,54,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Marcus Speca,Gustavus Alolphus College,27:56.0,55,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Jewson,Hamline University,27:56.3,56,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Ropes,Macalester College,27:57.6,57,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Andres Rasmussen,Bethel University,27:57.7,58,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Hansen,Saint John's University,27:59.5,59,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Fritz,University of St. Thomas,28:00.4,60,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Brandt,University of St. Thomas,28:03.9,61,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Tony Duchenes,Hamline University,28:04.3,62,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Mac Doherty,Macalester College,28:05.0,63,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Berkowitz,University of St. Thomas,28:08.4,64,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Henry Boettcher,Saint John's University,28:08.9,65,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Joe Haase,Carleton College,28:10.7,66,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Daniel Mahota,University of St. Thomas,28:12.2,67,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Jase Pater,Saint Mary's University,28:16.5,68,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Wischnack,Gustavus Alolphus College,28:17.6,69,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Austin Lick,Saint John's University,28:19.5,70,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Brandon Krogman,Saint Mary's University,28:20.0,71,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Plumb,St. Olaf College,28:21.3,72,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Luke Wittman,Saint John's University,28:21.5,73,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Henry Burt,St. Olaf College,28:22.2,74,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Glasgow,University of St. Thomas,28:22.6,75,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Christian Svennes,Bethel University,28:22.6,76,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Justin Furcich,St. Olaf College,28:23.0,77,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Long,University of St. Thomas,28:24.1,78,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Allen-Michael Burback,University of St. Thomas,28:25.4,79,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Cullen Irvine,Carleton College,28:25.6,80,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Trevor Maggart,Macalester College,28:26.5,81,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Renier,Gustavus Alolphus College,28:26.7,82,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Ryan,University of St. Thomas,28:27.9,83,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Ian Bramstedt,University of St. Thomas,28:28.5,84,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Nelson,Bethel University,28:28.7,85,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Keegan Conrad,Saint John's University,28:28.8,86,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Michael Hoffert,Carleton College,28:29.6,87,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Tom Linder,University of St. Thomas,28:29.9,88,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Edinburgh,Carleton College,28:30.0,89,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Lerdall,St. Olaf College,28:30.2,90,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Jack Noble,Carleton College,28:31.4,91,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Bakken,St. Olaf College,28:31.7,92,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan Olawsky,Carleton College,28:33.7,93,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Anthony Paladie,Hamline University,28:35.7,94,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,John Benson,Gustavus Alolphus College,28:38.6,95,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Friesen,Saint John's University,28:39.5,96,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Kevin Schreiber,University of St. Thomas,28:39.7,97,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Cal Knickerbocker,St. Olaf College,28:43.9,98,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Ruvkun,Carleton College,28:44.4,99,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,David Huffman,Bethel University,28:48.7,100,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Richard Peterson,University of St. Thomas,28:48.7,101,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Taylor Voit,University of St. Thomas,28:49.8,102,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Peter Metzdorff,Saint John's University,28:51.6,103,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Klein,St. Olaf College,28:52.5,104,2015,"Como Park Golf Course, St. Paul"
MIAC Championships,Sherm Moga,Saint Mary's University,28:52.9,105,2015,"Como Park Golf Course, St. Paul"
